date,product,quantity,price,region,order_id
2026-09-01,Laptop,2,65000,North,ORD001
2026-09-01,Mouse,8,800,South,ORD002
2026-09-02,Keyboard,5,1800,West,ORD003
2026-09-02,Monitor,3,12000,North,ORD004
2026-09-03,Laptop,1,65000,East,ORD005
2026-09-03,Headphones,6,2500,South,ORD006
2026-09-04,Monitor,4,12000,West,ORD007
2026-09-04,Mouse,10,800,North,ORD008
2026-09-05,Keyboard,7,1800,East,ORD009
2026-09-05,Laptop,2,65000,North,ORD010
2026-09-06,Headphones,4,2500,South,ORD011
2026-09-06,Monitor,2,12000,East,ORD012
2026-09-07,Laptop,1,65000,West,ORD013
2026-09-07,Mouse,12,800,South,ORD014
2026-09-08,Keyboard,6,1800,North,ORD015
2026-09-08,Monitor,3,12000,West,ORD016
2026-09-09,Headphones,8,2500,East,ORD017
2026-09-09,Laptop,1,65000,South,ORD018
